gl,bf,proper,dist,absmag,x,y,z
Gl 766A,,,10.7411,12.755,4.256757,-8.559719,4.89719
Gl 766B,,,10.7411,13.245,4.256757,-8.559719,4.89719
Gl 617B,,,10.7423,10.535,-1.808253,-3.738687,9.906851
Gl 413.1,,,10.7527,10.282,-9.540629,2.135974,-4.475893
GJ 1041B,,,10.7527,13.842,9.313051,5.334067,0.65983
Gl 228B,,,10.7793,12.337,-0.505011,10.592888,1.931065
Gl 86,,,10.7828,5.956,5.738173,3.670852,-8.359261
Gl 92,8Del Tri,,10.784,4.676,7.36921,5.020051,6.065246
Gl 909B,,,10.7898,11.535,2.692069,-0.089412,10.448184
Gl 635B,,,10.7956,5.234,-3.096312,-8.657766,5.656936
Gl 660B,,,10.8015,12.033,-2.250561,-10.55866,-0.349411
Gl 553.1,,,10.8178,11.749,-8.356758,-6.471623,-2.3038
Gl 47,,,10.8225,10.658,5.001794,1.371175,9.499372
NN 3928,,,10.8696,13.499,-4.590406,-7.603905,6.265541
NN 4281,,,10.8814,16.957,9.758009,-4.096832,-2.525614
Gl 909A,,,10.8909,6.175,2.717175,-0.089877,10.546133
Gl 740,,,10.9075,9.031,2.716642,-10.504041,1.122757
Gl 228A,,,10.9111,10.221,-0.510998,10.722973,1.954403
Gl 449,5Bet Vir,,10.929,3.397,-10.914853,0.443379,0.336562
GJ 1236,,,10.929,12.157,3.80097,-10.160476,1.34021
Gl 519,,,10.9361,8.866,-8.087832,-3.663676,6.38434
Gl 754.1A,,,10.9517,12.083,3.738113,-10.189776,-1.461065
Gl 545,,,10.9769,12.698,-8.865278,-6.214085,-1.835363
NN 4333,,,10.989,11.495,10.345664,-1.748718,3.26609
NN 3210,,,10.989,14.545,4.295221,4.800344,-8.903141
Gl 448,94Bet Leo,Denebola,10.9999,1.933,-10.633926,0.508011,2.767546
Gl 688,,,10.9999,6.323,-0.99114,-10.934101,0.682125
Gl 79,,,11.0059,8.682,8.965111,4.808034,-4.20026
Gl 706,,,11.0241,6.168,0.362378,-8.624863,6.856197
GJ 1004,,,11.0254,14.148,7.014344,0.375199,8.498096
GJ 1238,,,11.0254,15.158,0.989226,-2.566331,10.676836
GJ 1086,,,11.0497,14.333,0.417995,11.041742,-0.033168
Gl 27,54    Psc,,11.0595,5.661,10.155576,1.761632,4.008362
GJ 2069A,,,11.0656,11.68,-6.412664,8.235479,3.674523
Gl 505A,,,11.0717,6.269,-9.997344,-3.483932,3.240244
Gl 63,,,11.0742,10.968,5.449928,2.493787,9.311144
Gl 173,,,11.0988,10.114,3.828396,10.198489,-2.12513
GJ 1148,,,11.1037,11.633,-8.127583,0.648794,7.537481
GJ 2036A,,,11.1086,10.502,1.783145,5.973835,-9.194274
NN 3140,,,11.1111,12.491,9.175921,5.858512,2.221901
NN 3396,,,11.1111,14.601,-1.152402,8.241792,7.362158
NN 3592,,,11.1111,14.871,-5.549149,2.736238,-9.229788
NN 4078,,,11.1111,12.471,1.283731,-5.841749,-9.363896
GJ 1277,,,11.1111,13.851,5.336935,-1.518261,-9.630464
Gl 107A,13The Per,,11.1272,3.868,5.480091,4.772164,8.42701
Gl 320,,,11.1408,6.345,-5.66967,6.562556,-6.993424
Gl 370,,,11.1582,7.432,-6.847058,4.315265,-7.681132
Gl 356B,,,11.1794,12.758,-7.32672,5.339644,6.541129
GJ 1187,,,11.1857,15.287,-4.387858,-4.307567,9.344673
NN 3967,,,11.1982,13.444,-3.82569,-10.523536,0.13777
Gl 537A,,,11.2233,9.599,-6.665435,-3.947816,8.118006
Gl 537B,,,11.2233,9.699,-6.665833,-3.948051,8.118491
Gl 754.1B,,,11.2259,11.869,3.830456,-10.445951,-1.49734
Gl 505B,,,11.2271,9.349,-10.138082,-3.533019,3.285603
Gl 107B,,,11.2322,9.808,5.532529,4.817104,8.507513
NN 4065,,,11.236,12.207,1.723552,-10.783775,2.643343
Gl 208,,,11.2397,8.526,1.127296,10.963123,2.207773
Gl 2,,,11.2511,9.694,7.843761,0.177365,8.064194
Gl 603,41Gam Ser,,11.2537,3.594,-5.56255,-9.299226,3.038014
Gl 541,16Alp Boo,Arcturus,11.2575,-0.307,-8.823448,-5.932531,3.698938
Gl 361,,,11.26,10.122,-9.011736,6.241614,2.573084
Gl 4A,,,11.3071,7.933,7.878784,0.195428,8.107843
Gl 325A,,,11.3122,8.432,-2.578766,2.68337,10.684878
Gl 325B,,,11.3122,8.632,-2.578797,2.68345,10.68485
,,,11.3225,11.77,-8.613627,5.206448,-5.186264
,,,11.3456,11.596,-0.344573,10.213593,-4.928126
Gl 362,,,11.3546,10.914,-3.202697,2.183459,10.672553
NN 3149B,,,11.3636,12.722,8.064134,5.469104,-5.847226
NN 4048A,,,11.3636,11.592,0.697458,-8.831631,7.116689
NN 4049B,,,11.3636,13.252,0.696816,-8.831684,7.116686
Gl 356A,11    LMi,,11.3688,5.121,-7.450851,5.430348,6.651975
Gl 169,,,11.3921,8.017,4.086695,9.745911,4.253197
Gl 534,8Eta Boo,Mufrid,11.396,2.396,-9.487671,-5.188142,3.596709
Wo 9520,,,11.4116,10.373,-6.781787,-8.218354,4.085415
Gl 70,,,11.4129,10.643,10.242877,4.95912,0.860009
Gl 902,,,11.4207,6.802,3.378804,-0.301207,-10.905962
NN 4070,,,11.4469,10.977,1.771646,-9.562697,6.037186
Gl 277.1,,,11.4745,10.101,-2.090916,4.782662,10.218531
NN 3500,,,11.4943,11.548,-4.873376,6.507064,-8.125716
Gl 317,,,11.4943,11.678,-6.810779,8.046646,-4.573996
NN 3550,,,11.4943,14.718,-2.570256,2.130725,10.99876
NN 3966,,,11.4943,12.648,-3.394369,-8.780522,6.595425
NN 4122,,,11.4956,10.307,4.324957,-8.69075,6.157469
Gl 567,,,11.5101,5.695,-7.906486,-7.463478,3.776241
Gl 275.2A,,,11.5607,13.245,-2.971549,7.109158,8.618559
Gl 275.2B,,,11.5607,14.315,-2.975132,7.112019,8.614962
Gl 12,,,11.5875,12.26,11.237909,0.776518,2.715989
Gl 669A,,,11.5915,10.939,-1.805608,-10.214932,5.172121
Gl 103,,,11.6036,8.567,6.546404,5.224808,-8.031079
Gl 772,,,11.6144,13.375,5.653474,-10.147812,-0.21153
Gl 851,,,11.6171,9.925,9.808944,-5.024807,3.671819
NN 3039,,,11.6279,12.372,11.412285,1.633794,1.516088
NN 3442,,,11.6279,13.322,-4.133107,10.202554,-3.746118
Gl 540.2,,,11.6279,13.532,-9.50853,-6.239028,-2.422903
NN 3873,,,11.6279,11.982,-6.849563,-6.525978,6.760412
Gl 118,,,11.6455,11.029,3.770908,3.527811,-10.438969
Gl 189,Zet Dor,,11.6455,4.379,1.474776,6.085643,-9.818715
GJ 1075,,,11.6591,8.647,1.465829,6.081014,-9.839066
,,,11.6795,9.863,-5.353243,-3.516911,-9.766517
GJ 1234,,,11.6822,14.232,3.078815,-8.578592,7.307698
Gl 482A,29Gam Vir,Porrima,11.685,2.402,-11.488622,-2.111702,-0.295552
Gl 494,,,11.6904,9.421,-11.0195,-2.992712,2.505483
Gl 848,24Iot Peg,,11.7261,3.424,9.335368,-5.015491,5.019565
Gl 4B,,,11.7509,8.67,8.188103,0.202922,8.426006
Gl 585,,,11.7509,13.33,-7.062474,-8.709702,3.528058
Gl 410,,,11.7716,9.216,-10.576702,2.703881,4.403412
Gl 735,,,11.773,9.746,2.790755,-11.307203,1.720327
Gl 572,,,11.7938,8.792,-5.829123,-5.876436,8.401216
Gl 542,,,11.798,6.301,-4.936333,-3.427027,-10.152722
Gl 482B,29Gam Vir,,11.8301,3.155,-11.630574,-2.137246,-0.299172
NN 3266,,,11.8343,13.344,2.287923,4.502957,10.702311
NN 3060A,,,11.8455,11.642,10.491115,2.352447,4.971757
Gl 837,49Del Cap,,11.8666,2.478,9.534405,-6.248606,-3.296196
Gl 277B,,,11.868,10.148,-3.739646,8.814115,7.01255
Gl 414A,,,11.8723,7.937,-10.002848,2.167892,6.015938
GJ 1055,,,11.8765,14.477,7.938658,8.58805,2.067458
NN 3954,,,11.9048,13.921,-4.493949,-10.433779,-3.558784
Wo 9780,,,11.9048,12.131,7.311156,-3.213265,-8.828715
GJ 1243,,,11.919,12.449,3.826298,-7.260781,8.643094
Gl 414B,,,11.9261,9.598,-10.04729,2.179382,6.042833
Gl 96,,,11.9403,9.015,6.514448,4.657185,8.856375
Gl 403,,,11.9474,12.284,-11.087256,3.385307,2.890126
GJ 1223,,,11.976,14.458,0.114678,-9.49854,7.293091
Gl 277A,,,11.9818,11.427,-3.774746,8.897552,7.081553
Gl 842,,,11.9861,9.347,5.223357,-3.028532,-10.354419
GJ 1179A,,,11.9904,14.926,-9.784265,-4.997088,4.802811
GJ 1179B,,,11.9904,15.256,-9.790376,-4.991272,4.796402
,,,12.0019,10.254,-9.975212,4.62288,-4.813494
NN 3992,,,12.0034,11.143,-1.97155,-9.19237,7.462904
GJ 1140,,,12.0048,13.913,-11.46294,3.200908,-1.571755
Gl 136,Zet1Ret,,12.0077,5.133,3.596056,4.201871,-10.658337
,,,12.0178,11.171,10.712884,-1.966966,-5.078648
Gl 138,Zet2Ret,,12.0322,4.838,3.603559,4.227199,-10.6734
Gl 268.3,,,12.0351,10.428,-3.501308,10.121224,5.490474
Gl 669B,,,12.0467,12.566,-1.877194,-10.614647,5.374617
NN 3331A,,,12.0482,9.885,2.575958,10.903377,-4.431695
NN 3332B,,,12.0482,11.255,2.576751,10.903192,-4.431691
GJ 2092,,,12.0482,13.565,-4.827936,-0.563275,-11.027269
NN 3727A,,,12.0482,10.555,-11.746178,-1.488318,-2.229648
NN 3728B,,,12.0482,10.595,-11.746287,-1.487463,-2.229649
GJ 1053,,,12.0627,14.233,2.267085,2.494214,11.582227
Gl 624,Zet TrA,,12.1168,4.483,-1.604938,-3.802618,-11.392224
Gl 180,,,12.1183,10.483,3.285536,11.062177,-3.699113
Gl 598,27Lam Ser,,12.1242,4.002,-6.61701,-10.039373,1.551618
Gl 798,,,12.1492,8.407,4.788986,-5.591699,-9.663966
Gl 359,,,12.1655,13.804,-9.267294,6.426743,4.562194
Gl 821,,,12.1684,10.444,8.705568,-8.02691,-2.79973
Gl 914A,85    Peg,,12.1699,5.374,10.834733,0.102555,5.540428
NN 3518,,,12.1951,13.569,-7.723554,8.044465,-4.934953
NN 3533,,,12.1951,13.869,-8.228877,7.73763,-4.597295
NN 3647,,,12.1951,11.949,-9.941643,2.119361,6.737397
NN 3800,,,12.1951,13.069,-10.576796,-5.054138,-3.362667
,,,12.1981,8.249,10.666898,4.970337,3.210403
Gl 309,,,12.2085,5.947,-6.439391,8.178727,-6.379152
GJ 1288,,,12.21,13.926,10.456214,-0.783167,6.256063
GJ 1263,,,12.2249,12.214,10.215578,-6.718446,-0.037617
Gl 82,,,12.2474,11.77,5.547005,3.182972,10.444918
Gl 590,,,12.2549,12.358,-5.664121,-7.837528,-7.528178
Gl 211,,,12.2775,5.764,0.594246,7.282002,9.866951
Gl 737A,,,12.285,8.413,1.706149,-6.655863,-10.183654
Gl 64,,,12.285,12.393,11.136753,5.074421,-1.069684
GJ 1097,,,12.288,11.023,-4.6331,11.359117,-0.706952
Gl 179,,,12.288,11.493,3.564852,11.677498,1.386033
Gl 360,,,12.2895,10.112,-3.464414,2.368123,11.550894
Gl 192,,,12.2926,10.372,2.371876,11.329749,4.136752
Gl 806,,,12.3198,10.337,5.795698,-6.604754,8.634767
Gl 381,,,12.3335,10.185,-10.979393,5.589562,-0.577721
Gl 324A,55Rho1Cnc,,12.3411,5.503,-7.429298,7.925466,5.85673
Gl 390,,,12.3457,9.692,-11.124476,4.884423,-2.192331
NN 3052,,,12.3457,13.342,11.962011,2.34345,1.958278
NN 3263,,,12.3457,11.942,5.303193,9.905127,-5.116729
NN 3285,,,12.3457,15.042,4.817127,11.06379,2.608477
NN 3333,,,12.3457,11.322,2.650664,11.439422,3.811813
NN 3567,,,12.3457,12.272,-5.137473,3.33436,10.719362
NN 4004,,,12.3457,11.642,-0.280605,-2.087699,-12.164665
NN 4098,,,12.3457,11.342,3.073117,-9.975187,6.59302
NN 4201,,,12.3457,12.202,8.978476,-6.743168,5.131566
NN 4350,,,12.3457,13.262,9.87607,-1.000247,-7.340237
Gl 46,,,12.3533,11.311,10.568623,2.756147,-5.772468
Gl 601A,Bet TrA,,12.3778,2.367,-2.869157,-4.734869,-11.070637
Gl 671,,,12.3808,10.906,-1.609655,-9.100608,8.238201
NN 3356,,,12.3916,11.344,1.316956,11.957459,2.972633
Gl 435,,,12.4008,7.303,-8.829036,0.732039,-8.677271
Gl 212,,,12.4378,9.306,0.596305,7.376012,9.996908
,,,12.4735,9.57,-1.611037,-7.417776,-9.897948
GJ 1101,,,12.4844,12.608,-0.697523,1.256312,12.401426
Gl 843,,,12.4844,11.548,10.244071,-5.794892,-4.163952
Gl 302,,,12.4938,5.467,-6.92291,10.035411,-2.732344
Gl 142,,,12.4938,7.907,7.242316,9.259198,-4.233158
GJ 1068,,,12.5,13.095,3.412879,6.586117,-10.062796
NN 3466A,,,12.5,12.895,-5.236433,9.554939,-6.126411
NN 3543,,,12.5,10.265,-8.952827,7.756458,-3.991777
Gl 575A,44    Boo,,12.5078,4.344,-5.858189,-6.055134,9.244209
NN 3028,,,12.5156,15.563,10.442926,0.935977,6.831626
NN 3497,,,12.5156,15.183,-2.661072,3.600649,11.687356
Gl 324B,,,12.5313,12.65,-7.548212,8.046658,5.94488
,,,12.5345,8.949,11.857838,-4.020926,-0.580981
NN 3250,,,12.5471,14.017,6.784871,10.382436,1.89744
Gl 91,,,12.5502,9.817,8.874205,5.867794,-6.658469
GJ 1029,,,12.5628,14.305,10.591635,3.118568,5.992978
Gl 836.5,,,12.5628,12.745,9.685246,-6.614751,4.501671
Gl 26,,,12.5786,10.562,10.668796,1.83231,6.406276
NN 3708A,,,12.5897,11.17,-11.819291,-0.577852,-4.297789
Gl 197,15Lam Aur,,12.631,4.183,1.713487,9.509166,8.136149
Gl 737B,,,12.6358,9.492,1.754893,-6.84529,-10.474033
NN 3112,,,12.6582,13.368,4.401269,2.121971,-11.679988
NN 3292,,,12.6582,12.988,4.73009,11.321245,3.112185
NN 3357,,,12.6582,12.288,1.315746,12.476504,-1.683954
Gl 261,,,12.6582,14.758,-3.355322,12.122235,-1.422423
NN 3780,,,12.6582,12.388,-10.636021,-4.062776,-5.531631
NN 4062,,,12.6582,11.478,1.334826,-9.505655,8.251714
NN 4154,,,12.6582,10.988,1.212276,-1.359366,-12.526474
Gl 95,,,12.6695,5.816,9.361391,6.492719,-5.543174
,,,12.6727,11.146,-6.675224,1.297428,-10.693708
GJ 1248,,,12.6743,11.575,6.484264,-10.809259,1.323686
Gl 810A,,,12.6743,11.935,8.527838,-8.858071,-3.073835
Gl 810B,,,12.6743,14.035,8.526094,-8.857511,-3.080276
GJ 1215,,,12.6904,14.583,-2.27914,-12.217362,2.56668
Gl 863,,,12.7097,9.839,11.647816,-4.644822,2.070994
Wo 9716,,,12.721,12.357,4.972575,-4.834249,-10.664304
Gl 67,,,12.7389,4.434,8.465575,4.02816,8.624862
Gl 575B,,,12.7567,5.431,-5.975127,-6.175778,9.428438
Gl 516A,,,12.76,10.851,-11.228139,-4.809091,3.690353
Gl 454,,,12.7632,5.01,-12.5516,-0.040575,-2.314084
Gl 620.1A,,,12.7779,4.838,-4.027174,-9.047466,-8.07489
Gl 395,36    UMa,,12.7796,4.287,-6.613102,2.718087,10.592404
Gl 206,,,12.7943,11.015,1.523068,12.514663,2.182323
NN 3452,,,12.7975,10.824,-2.978085,6.739117,10.463809
Gl 675,,,12.8025,5.904,-0.75131,-4.88157,11.811056
GJ 2045,,,12.8041,14.743,0.988201,12.70756,-1.21916
NN 4054,,,12.8041,15.113,0.576401,-6.177955,11.200251
NN 3668,,,12.8205,13.75,-12.288125,1.556362,-3.308316
GJ 1210,,,12.8205,13.47,-2.87781,-12.384707,1.643922
GJ 1218,,,12.8205,12.14,-0.820535,-5.871614,-11.368941
NN 4326,,,12.8205,11.56,11.869231,-2.22845,4.303555
NN 4387,,,12.8205,12.26,10.614642,-0.006882,-7.189893
Gl 775,,,12.8601,6.914,6.55367,-11.039385,0.746132
GJ 2138,,,12.8866,10.729,2.099274,-12.298787,-3.224492
Gl 428B,,,12.8899,7.749,-6.048871,0.940339,-11.343825
NN 3722,,,12.8966,10.638,-4.973677,-0.512951,11.887881
Gl 897B,,,12.9032,10.847,12.268507,-1.464349,-3.719139
Gl 349,,,12.9066,6.646,-10.18691,7.822785,1.271847
GJ 1073,,,12.9199,12.874,2.839277,9.373306,8.426357
GJ 1214,,,12.9199,14.114,-2.493928,-12.627569,1.117419
Gl 401B,,,12.9366,15.941,-11.585692,3.896597,-4.236027
Gl 194B,,,12.9383,0.401,1.689045,8.828648,9.308413
,,,12.955,10.158,5.725956,5.254333,-10.365203
Gl 895,,,12.9618,9.467,6.813946,-1.063728,10.974472
NN 3131,,,12.987,10.642,10.394482,6.20517,-4.702425
NN 3224,,,12.987,14.132,8.055286,10.100146,1.327251
NN 3309,,,12.987,10.692,3.717307,10.862953,6.069601
NN 3981,,,12.987,12.562,-3.345687,-12.150849,3.134553
NN 4368,,,12.987,10.932,12.780938,-0.524501,2.24381
,,,12.9955,6.601,0.167969,6.490966,-11.257094
Gl 521,,,13.009,9.669,-8.172025,-3.784736,9.386835
Gl 204,,,13.0208,7.077,1.784269,12.872953,-0.794769
GJ 1077,,,13.0208,11.337,0.493796,2.595246,-12.749097
NN 3106,,,13.0378,9.494,5.202182,2.457266,11.699318
Gl 422,,,13.0378,11.074,-6.865479,1.334231,-10.998789
Gl 167,,,13.0446,7.063,3.418184,7.004311,-10.460011
Gl 722,,,13.0839,5.266,2.062141,-12.035562,-4.700031
,,,13.0873,11.066,-1.310709,-1.800542,-12.896414
Gl 592,,,13.089,12.115,-7.41696,-10.300351,-3.195841
Gl 707,,,13.1044,7.793,0.512718,-9.500436,-9.011307
Gl 195A,,,13.1062,9.613,1.688048,8.974037,9.403799
Gl 195B,,,13.1062,13.113,1.687842,8.972945,9.402655
Gl 194A,13Alp Aur,Capella,13.1234,-0.51,1.712633,8.954439,9.440007
NN 3506,,,13.1234,11.08,-3.081984,3.811172,12.173742
,,,13.1337,10.798,-0.667558,-11.105518,-6.979678
Gl 620.1B,,,13.1579,10.414,-4.163462,-9.303609,-8.321719
NN 3036,,,13.1579,12.554,8.32468,1.055316,10.134907
GJ 1031,,,13.1579,12.824,11.02148,3.385191,-6.340172
NN 3372B,,,13.1579,12.964,0.00257,6.860561,11.227779
Gl 425B,,,13.1579,10.404,-12.154318,2.063994,-4.598132
NN 3704,,,13.1579,12.474,-4.598264,-0.110303,12.327779
NN 3817,,,13.1579,11.664,-11.170511,-6.335541,2.865474
NN 4044,,,13.1579,12.724,0.67617,-11.803909,5.774157
Gl 425A,,,13.1631,7.973,-12.159172,2.065062,-4.599891
Gl 865,,,13.1804,10.9,5.147553,-1.911906,-11.981825
Gl 469,,,13.1839,11.39,-12.937629,-1.643566,1.931752
Gl 174,,,13.1891,7.489,4.147652,11.602164,4.7054
GJ 1092,,,13.1926,13.158,-2.235979,10.279369,7.961136
,,,13.2013,11.377,-12.963068,1.666525,-1.858998
Gl 556,,,13.2188,6.634,-6.250274,-4.948629,10.544408
NN 3612,,,13.2275,11.323,-4.331017,1.673496,12.385818
Gl 525,,,13.2398,9.181,-11.304998,-5.580201,4.044197
Gl 716,,,13.2521,6.199,1.707699,-12.419752,-4.294394
Gl 507A,,,13.2661,8.866,-10.204905,-3.692103,7.629975
Gl 177,58    Eri,,13.2767,4.875,3.945704,12.072764,-3.867261
Gl 164,,,13.2802,12.884,3.630659,7.200111,10.551799
NN 3001,,,13.2979,14.281,10.994187,0.128112,-7.479679
NN 3971,,,13.2979,15.031,-1.725977,-4.763978,12.2947
Gl 732A,,,13.2979,12.081,2.412492,-10.1063,-8.299201
Gl 732B,,,13.2979,15.381,2.412442,-10.106301,-8.299214
NN 3403,,,13.2996,9.181,-1.292411,7.39997,-10.974948
Gl 597,,,13.3103,11.599,-1.833098,-2.649211,12.914122
Gl 835,,,13.3174,9.208,9.597367,-6.84533,6.195318
GJ 1088,,,13.3333,11.695,-0.462003,9.676115,-9.163757
NN 3423,,,13.3333,12.545,-2.993213,10.545314,7.590383
NN 3586,,,13.3333,12.845,-7.388842,3.866705,10.40339
NN 3900,,,13.3333,11.955,-8.394087,-9.932405,-2.943388
NN 4239,,,13.3333,14.015,11.450041,-6.817448,-0.442586
Gl 319C,,,13.3422,11.164,-8.583478,9.973174,2.214625
Gl 767B,,,13.3511,10.472,5.068899,-10.122082,7.077911
Gl 655,,,13.3618,10.981,-2.841689,-12.097749,4.908669
GJ 1012,,,13.369,11.56,13.177536,1.65655,-1.551872
Gl 742,,,13.369,12.57,1.14891,-4.274632,12.614979
Gl 774A,,,13.4048,10.714,2.853729,-4.746991,-12.211049
Gl 774B,,,13.4048,12.184,2.853304,-4.746284,-12.209233
Gl 528A,,,13.4084,6.413,-10.621222,-5.474195,6.083013
,,,13.4463,9.537,5.228784,9.898763,7.448307
Gl 130.1B,,,13.4608,10.555,4.652856,5.362845,11.437412
Gl 427,,,13.4771,13.592,-12.40108,1.951838,4.909793
Gl 354A,25The UMa,,13.4789,2.522,-6.693935,5.005096,10.57472
Gl 354B,,,13.4862,13.151,-6.697339,5.007531,10.580543
Gl 61,50Ups And,,13.4916,3.45,9.229933,4.147969,8.92295
NN 3009,,,13.5135,11.416,7.337478,0.268395,-11.344782
NN 3709B,,,13.5135,11.966,-12.685408,-0.624923,-4.615688
GJ 1267,,,13.5318,8.323,7.143656,-3.24539,-11.024756
NN 3371A,,,13.5336,9.593,0.01141,7.052533,11.550757
Gl 868,,,13.5501,7.17,11.075688,-3.991693,-6.708276
NN 4006,,,13.5685,10.237,-1.994294,-13.414334,0.427362
Gl 69,,,13.5777,7.756,5.386964,2.618057,12.184745
Gl 104,,,13.5943,10.013,9.917443,8.022999,4.698446
Gl 146,,,13.6073,7.901,5.339596,7.283334,-10.178661
Gl 853B,,,13.611,9.231,7.289631,-3.466212,-10.959288
Gl 767A,,,13.6129,9.07,5.168078,-10.320545,7.217152
Gl 184,,,13.6221,9.289,1.998265,7.925906,10.89792
Gl 656,,,13.6221,6.709,-1.436698,-6.503692,-11.88283
Gl 386,,,13.6426,10.316,-12.014959,5.81047,-2.827516
GJ 1194A,,,13.6426,11.806,-5.672725,-8.105364,9.385795
GJ 1194B,,,13.6426,13.126,-5.674589,-8.10928,9.389312
Gl 471,,,13.6463,9.065,-13.360166,-1.833881,2.090212
Gl 528B,,,13.6519,7.354,-10.813751,-5.572951,6.192753
GJ 1035,,,13.6612,14.093,1.307277,0.473484,13.590263
Gl 5,,,13.6705,5.391,11.948982,0.344882,6.632053
Gl 771A,60Bet Aql,Alshain,13.6986,3.027,6.563854,-11.925647,1.528534
NN 3326,,,13.6986,13.067,3.238262,13.048443,2.627442
Gl 398,,,13.6986,11.917,-12.739357,4.888216,1.222781
Gl 771B,,,13.708,10.715,6.568143,-11.934418,1.529196
,,,13.7137,9.354,-11.335551,7.141095,-2.928416
Gl 428A,,,13.7137,6.534,-6.43535,0.999927,-12.068684
Gl 904,17Iot Psc,,13.7137,3.444,13.595494,-1.192399,1.34449
Gl 215,,,13.7287,8.332,0.395848,6.382741,12.148099
NN 3520,,,13.7363,13.631,-2.84609,2.845088,13.13359
Gl 333,,,13.7363,11.501,-6.557034,6.58416,-10.117857
Gl 162,,,13.7552,9.488,5.349329,10.127479,7.620771
Gl 895.2,,,13.7552,12.348,13.57247,-1.859795,1.258009
Gl 516B,,,13.7627,11.606,-12.110414,-5.187082,3.98018
Gl 310,,,13.776,8.584,-3.35397,4.126168,12.708527
Gl 813,,,13.7779,11.284,8.907683,-9.110321,5.241957
,,,13.7798,10.254,10.671331,-7.097006,-5.063408
Gl 853A,,,13.7855,4.663,7.382862,-3.511159,-11.09963
NN 3779,,,13.7931,12.232,-11.741394,-4.445238,5.712194
GJ 1270,,,13.8313,12.546,9.569856,-3.973742,9.161447
Gl 524,,,13.8504,11.793,-7.286065,-3.584845,-11.220327
NN 4169,,,13.8504,13.263,9.351397,-9.893137,2.551625
Gl 394,,,13.8696,7.98,-7.171195,2.954541,11.498842
GJ 1292,,,13.8696,11.01,12.737479,-0.126174,5.486942
Gl 615,,,13.887,6.817,-3.328428,-6.661907,-11.721426
Gl 512A,,,13.8889,10.517,-12.85831,-5.218036,-0.571972
NN 3053,,,13.8889,13.487,13.140875,2.614184,-3.658547
NN 3336,,,13.8889,10.677,1.964199,8.926966,10.457186
NN 3898,,,13.8889,12.637,-6.467731,-7.222867,9.944859
NN 4055,,,13.8889,11.777,1.252237,-12.179915,6.556153
NN 4056,,,13.8889,11.127,1.456471,-13.806294,0.408012
NN 4279,,,13.8889,12.507,12.671824,-5.440709,1.650791
Gl 606,,,13.8985,9.775,-6.883011,-11.908487,-1.9951
Gl 616,18    Sco,,13.9005,4.775,-6.049152,-12.350743,-2.023308
Gl 353,,,13.9063,9.474,-8.946689,6.745552,8.236775
NN 3637,,,13.9082,13.354,-13.436255,3.517564,0.729289
Gl 400A,,,13.9159,8.442,-10.316481,3.484004,8.665069
GJ 1182,,,13.9276,13.581,-11.524344,-7.739159,1.130779
Gl 836,,,13.947,12.708,10.394035,-7.344588,-5.708874
,,,13.9489,6.377,7.373935,10.924326,-4.566838
Gl 147,10    Tau,,13.9626,3.565,8.163865,11.327087,0.097883
Gl 899,,,13.9782,10.433,13.888839,-1.579024,0.043771
,,,13.9841,10.292,-10.361981,3.784815,-8.59416
,,,14.0036,10.489,-11.393975,3.852314,-7.172016
GJ 1072,,,14.0056,14.478,3.855879,12.388021,5.275032
Gl 552,,,14.0076,9.938,-10.725239,-8.192278,3.751075
NN 3564,,,14.0272,11.345,-10.362206,6.994208,6.361454
Gl 133,,,14.043,10.473,1.56136,1.883392,13.82817
Gl 770,,,14.0489,5.482,6.141341,-11.276216,-5.700981
Gl 407,47    UMa,,14.0627,4.29,-10.333319,2.794615,9.120037
GJ 1046,,,14.0726,10.848,9.256838,6.431751,-8.425761
Gl 201,,,14.0845,7.186,2.124277,13.277023,4.194138
NN 3061B,,,14.0845,12.556,12.474213,2.796668,5.911497
NN 3490B,,,14.0845,10.256,-6.389985,9.454797,-8.255182
NN 3861,,,14.0845,10.996,-5.725999,-4.673453,11.989367
NN 4038,,,14.0845,11.466,-0.174307,-13.552741,3.829618
NN 4288A,,,14.0845,10.176,11.506381,-4.279885,-6.903544
NN 4289B,,,14.0845,11.896,11.506504,-4.27898,-6.903899
Gl 878,,,14.0845,12.016,6.551417,-1.930077,12.317746
NN 4040,,,14.0865,11.046,-0.09084,-9.680261,10.232975
Gl 684B,,,14.0885,7.316,-0.723504,-6.601661,12.424993
Gl 739,,,14.0944,10.385,2.393269,-9.070282,-10.519238
Gl 685,,,14.0984,9.234,-0.711409,-6.649864,12.411043
Gl 903,35Gam Cep,,14.1024,2.464,3.008186,-0.271815,13.774751
GJ 1220,,,14.1044,13.433,-0.242511,-1.925318,13.97027
Gl 400B,,,14.1103,11.452,-10.460251,3.532722,8.786221
Gl 127B,,,14.1123,5.952,8.257153,9.176422,-6.83884
NN 4073,,,14.1243,17.48,2.014827,-10.521425,9.205213
Gl 875,,,14.1303,9.109,13.379153,-4.19766,-1.744098
Gl 512B,,,14.1603,12.935,-13.109922,-5.320189,-0.582763
NN 3693,,,14.1643,17.134,-14.05074,0.375012,1.725275
Gl 42,,,14.1723,6.393,11.903358,2.803906,-7.162437
,,,14.1743,9.112,-5.763367,12.926823,-0.769192
Gl 481,,,14.1784,7.152,-13.451746,-2.439019,3.759651
Gl 684A,26    Dra,,14.1904,4.47,-0.728444,-6.649556,12.514635
