gl,bf,proper,dist,absmag,x,y,z
Gl 229,,,5.7534,9.35,-0.246337,5.333894,-2.142671
Gl 764,61Sig Dra,,5.7547,5.87,0.784452,-1.840016,5.396152
Gl 251,,,5.7604,11.208,-1.141059,4.680085,3.160773
Gl 338A,,,5.8113,8.819,-2.642238,2.329858,4.62201
Gl 213,,,5.8292,12.732,0.44278,5.674935,1.260815
Gl 693,,,5.8316,11.921,-0.184376,-3.142875,-4.907535
Gl 570A,,,5.8404,6.888,-3.887091,-3.802093,-2.13259
Gl 752A,,,5.8699,10.277,1.925584,-5.520142,0.528861
Gl 752B,,,5.8734,18.676,1.927832,-5.522905,0.527077
Gl 300,,,5.8824,13.252,-2.993375,4.579649,-2.16082
Gl 570B,,,5.9252,9.146,-3.944034,-3.856974,-2.163168
Gl 588,,,5.9291,10.445,-2.678394,-3.561312,-3.911408
Gl 663A,36    Oph,,5.9333,5.464,-1.027046,-5.204798,-2.656955
Gl 34B,,,5.9527,8.636,3.098396,0.673787,5.03855
Gl 34A,24Eta Cas,,5.9531,4.586,3.098462,0.674227,5.038376
Gl 285,,,5.9566,12.315,-2.621889,5.336048,0.369099
Gl 664,,,5.9705,7.45,-1.014027,-5.243915,-2.668326
Gl 661A,,,5.9776,10.427,-0.866144,-4.086415,4.275453
Gl 908,,,5.9776,10.097,5.965095,-0.281077,0.250417
Gl 663B,36    Oph,,5.9852,6.185,-1.036233,-5.250282,-2.680239
Gl 783A,,,6.015,6.424,2.632166,-4.084363,-3.543434
Gl 139,,82 G. Eri,6.0434,5.354,2.839238,3.381499,-4.127499
Gl 783B,,,6.0518,12.591,2.648766,-4.11005,-3.565924
Gl 555,,,6.061,12.407,-4.626156,-3.689053,-1.313877
Gl 780,Del Pav,,6.1084,4.62,1.313772,-2.087713,-5.587991
NN 3323,,,6.135,13.161,1.526136,5.895661,-0.741827
GJ 1221,,,6.1425,15.208,-0.104366,-2.009764,5.80347
NN 3454,,,6.1728,14.268,-2.501754,5.59158,0.760864
Gl 896A,,,6.182,11.094,5.76778,-0.711525,2.108009
Gl 644A,,,6.1954,10.06,-1.703055,-5.888724,-0.898248
Gl 784,,,6.1981,9.009,2.410191,-3.645204,-4.395049
GJ 1128,,,6.2112,13.814,-1.848526,1.259969,-5.793194
NN 3877,,,6.2112,18.084,-3.928325,-3.814685,-2.931799
Gl 581,,,6.2147,11.603,-3.96982,-4.707934,-0.835068
Gl 896B,,,6.2477,13.421,5.829022,-0.718963,2.130394
Gl 268,,,6.2945,12.655,-1.481414,4.696265,3.921162
Gl 661B,,,6.3223,11.396,-0.916168,-4.322284,4.522166
Gl 338B,,,6.3918,8.672,-2.906545,2.562201,5.083691
GJ 2097,,,6.4103,13.546,-5.737071,-1.727679,2.277826
Gl 223.2,,,6.4599,15.399,0.136031,6.441366,-0.469711
Gl 625,,,6.5164,11.06,-1.525067,-3.482882,5.292042
GJ 1156,,,6.5402,14.732,-6.395244,-0.531553,1.261955
Gl 892,,,6.5462,6.49,3.475601,-0.718451,5.500421
Gl 408,,,6.6622,10.912,-5.931445,1.587358,2.58525
Gl 566B,,,6.6997,7.84,-4.64172,-4.305423,2.192231
Gl 829,,,6.7047,11.198,5.062257,-3.897986,2.03206
